Màn chơi (Map),Thuật toán (Algorithm),Trạng thái,Thời gian xử lý (ms),Số nút đã duyệt (States Generated),Bộ nhớ hàng đợi (Memory In Queue),Tổng số bước giải (Steps)
level1.txt,BFS Solver,Thành công,0.06,3.0,0.0,1.0
level1.txt,A* Standard,Thành công,0.2,2.0,0.0,1.0
level1.txt,Push-based A*,Thành công,0.22,2.0,0.0,1.0
level2.txt,BFS Solver,Thành công,0.08,41.0,0.0,4.0
level2.txt,A* Standard,Thành công,0.61,15.0,0.0,4.0
level2.txt,Push-based A*,Thành công,0.83,4.0,0.0,4.0
level3.txt,BFS Solver,Thành công,1.19,651.0,0.0,13.0
level3.txt,A* Standard,Thành công,3.52,211.0,0.0,13.0
level3.txt,Push-based A*,Thành công,0.97,10.0,0.0,15.0
level4.txt,BFS Solver,Thành công,8.8,6638.0,0.0,14.0
level4.txt,A* Standard,Thành công,14.78,535.0,0.0,14.0
level4.txt,Push-based A*,Thành công,2.64,11.0,0.0,16.0
level5.txt,BFS Solver,Thành công,0.54,263.0,0.0,6.0
level5.txt,A* Standard,Thành công,1.68,44.0,0.0,6.0
level5.txt,Push-based A*,Thành công,0.91,6.0,0.0,12.0
level6.txt,BFS Solver,Thành công,1.23,1047.0,0.0,9.0
level6.txt,A* Standard,Thành công,3.02,159.0,0.0,9.0
level6.txt,Push-based A*,Thành công,1.35,8.0,0.0,10.0
level7.txt,BFS Solver,Thành công,0.29,235.0,0.0,8.0
level7.txt,A* Standard,Thành công,1.46,46.0,0.0,8.0
level7.txt,Push-based A*,Thành công,0.88,6.0,0.0,14.0
level8.txt,BFS Solver,Thành công,3.82,2388.0,0.0,10.0
level8.txt,A* Standard,Thành công,5.09,214.0,0.0,10.0
level8.txt,Push-based A*,Thành công,2.95,16.0,0.0,16.0
level9.txt,BFS Solver,Thành công,0.61,513.0,0.0,9.0
level9.txt,A* Standard,Thành công,1.81,93.0,0.0,9.0
level9.txt,Push-based A*,Thành công,0.67,4.0,0.0,9.0
level10.txt,BFS Solver,Thành công,4.92,3753.0,0.0,14.0
level10.txt,A* Standard,Thành công,12.12,552.0,0.0,14.0
level10.txt,Push-based A*,Thành công,2.9,14.0,0.0,16.0
level11.txt,BFS Solver,Thành công,42.17,17301.0,0.0,16.0
level11.txt,A* Standard,Lỗi: video system not initialized,,,,
level11.txt,Push-based A*,Thành công,3.88,8.0,0.0,20.0
level12.txt,BFS Solver,Thành công,1.73,1157.0,0.0,11.0
level12.txt,A* Standard,Thành công,3.42,137.0,0.0,11.0
level12.txt,Push-based A*,Thành công,2.64,25.0,0.0,31.0
level13.txt,BFS Solver,Thành công,200.56,112340.0,0.0,24.0
level13.txt,A* Standard,Lỗi: video system not initialized,,,,
level13.txt,Push-based A*,Thành công,19.16,40.0,0.0,50.0
level14.txt,BFS Solver,Thất bại,,,,
level14.txt,A* Standard,Thất bại,,,,
level14.txt,Push-based A*,Thất bại,,,,
level15.txt,BFS Solver,Thành công,10.41,6478.0,0.0,12.0
level15.txt,A* Standard,Thành công,11.43,370.0,0.0,12.0
level15.txt,Push-based A*,Thành công,4.28,25.0,0.0,20.0
level16.txt,BFS Solver,Thành công,12.0,8859.0,0.0,13.0
level16.txt,A* Standard,Thành công,10.71,419.0,0.0,13.0
level16.txt,Push-based A*,Thành công,7.69,38.0,0.0,18.0
level17.txt,BFS Solver,Thành công,1.96,1589.0,0.0,12.0
level17.txt,A* Standard,Thành công,5.26,163.0,0.0,12.0
level17.txt,Push-based A*,Thành công,4.97,25.0,0.0,24.0
level18.txt,BFS Solver,Thành công,2.98,2392.0,0.0,18.0
level18.txt,A* Standard,Thành công,10.86,529.0,0.0,18.0
level18.txt,Push-based A*,Thành công,1.65,16.0,0.0,24.0
level19.txt,BFS Solver,Thành công,36.75,24135.0,0.0,18.0
level19.txt,A* Standard,Lỗi: video system not initialized,,,,
level19.txt,Push-based A*,Thành công,31.36,133.0,0.0,44.0
level20.txt,BFS Solver,Thành công,11.14,9061.0,0.0,15.0
level20.txt,A* Standard,Thành công,16.63,771.0,0.0,15.0
level20.txt,Push-based A*,Thành công,4.18,16.0,0.0,24.0
level21.txt,BFS Solver,Thành công,4.46,3788.0,0.0,16.0
level21.txt,A* Standard,Thành công,8.8,415.0,0.0,16.0
